City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,Pingzhuang,CN,42.0372,119.2889,28.26,89,0,1.68,clear sky
254,Muroto,JP,33.2833,134.15,51.8,82,75,12.66,broken clouds
255,Mlandizi,TZ,-6.7,38.7333,80.6,83,40,5.75,scattered clouds
256,Bengkulu,ID,-3.8004,102.2655,88.93,53,92,4.29,overcast clouds
257,Desnogorsk,RU,54.1508,33.2815,33.13,96,100,11.27,overcast clouds
258,Chimbote,PE,-9.0853,-78.5783,71.37,77,98,4.99,overcast clouds
259,Auki,SB,-8.7676,160.7034,84.43,65,100,7.27,overcast clouds
260,Miri,MY,4.4148,114.0089,84.2,79,40,4.61,scattered clouds
261,Marienburg,PL,54.0359,19.0266,33.8,100,75,5.75,broken clouds
262,Jalu,LY,29.0331,21.5482,48.25,49,0,8.95,clear sky
263,Mar Del Plata,AR,-38.0023,-57.5575,75.99,88,0,4.61,clear sky
264,Morehead,US,37.2711,-87.1764,37.4,32,90,4.61,overcast clouds
265,Kamenka,RU,51.3223,42.7678,33.4,96,100,12.71,overcast clouds
266,Coxim,BR,-18.5067,-54.76,76.32,75,84,4.34,broken clouds
267,Saint-Georges,GD,12.0564,-61.7485,77.0,78,20,8.05,few clouds
268,Farafangana,MG,-22.8167,47.8333,79.0,86,57,3.38,broken clouds
269,Algeciras,ES,36.1333,-5.4505,57.2,94,75,24.16,drizzle
270,Mookane,BW,-23.688,26.6595,72.75,67,100,0.2,overcast clouds
271,Mwinilunga,ZM,-11.7358,24.4293,62.44,96,100,5.1,overcast clouds
272,Yashkul,RU,46.1711,45.3435,32.22,97,10,9.84,clear sky
273,Coralville,US,41.6764,-91.5805,26.6,63,90,8.05,overcast clouds
274,Kirakira,SB,-10.4544,161.9205,84.65,60,97,6.93,overcast clouds
275,Hailar,CN,49.2,119.7,8.83,92,85,4.07,overcast clouds
276,Yeniseysk,RU,58.4497,92.1703,-2.0,92,100,3.67,overcast clouds
277,Oktyabrskoye,RU,43.0645,44.7417,15.8,86,0,6.71,clear sky
278,Port Blair,IN,11.6667,92.75,80.92,60,7,10.54,clear sky
279,Arlit,NE,18.7369,7.3853,56.21,31,1,5.46,clear sky
280,Baoqing,CN,46.3317,132.2111,16.65,92,0,3.69,clear sky
281,Buchanan,LR,5.8808,-10.0467,77.09,88,2,4.9,clear sky
282,Clyde River,CA,70.4692,-68.5914,-5.8,77,1,2.3,clear sky
283,San Jeronimo,PE,-11.9472,-75.2829,50.27,74,100,1.1,light rain
284,Buta,CD,2.7858,24.73,75.51,45,100,0.81,overcast clouds
285,Kuryk,KZ,43.2,51.65,34.57,87,0,16.37,clear sky
286,Port Augusta,AU,-32.5,137.7667,107.6,10,99,17.27,overcast clouds
287,Pacific Grove,US,36.6177,-121.9166,51.01,81,90,6.91,overcast clouds
288,Nikolskoye,RU,59.7035,30.7861,34.0,93,90,8.95,light snow
289,Herat,AF,34.5,62.0,32.5,74,10,3.15,clear sky
290,Lompoc,US,34.6391,-120.4579,48.2,81,20,5.75,few clouds
291,Pemangkat,ID,1.1667,108.9667,81.27,75,100,5.06,overcast clouds
292,Bijawar,IN,24.6333,79.5,50.0,100,90,4.41,fog
293,Camana,PE,-16.6228,-72.7111,70.52,75,67,5.23,broken clouds
294,Lata,PT,40.1629,-8.3327,52.0,91,72,6.64,broken clouds
295,Teahupoo,PF,-17.8333,-149.2667,82.4,69,75,6.91,broken clouds
296,Gisors,FR,49.2818,1.7801,30.99,93,20,3.44,few clouds
297,Kupang,ID,-10.1667,123.5833,82.4,89,90,8.05,light rain
298,Fasa,IR,28.9383,53.6482,26.6,54,0,3.53,clear sky
299,Pasaje,EC,-3.3333,-79.8167,76.39,81,85,1.3,light rain
300,Masterton,NZ,-40.9597,175.6575,68.0,70,34,5.99,scattered clouds
301,Fengkou,CN,30.0833,113.2667,51.94,72,95,5.93,overcast clouds
302,Lajas,PR,18.05,-67.0593,75.0,93,18,1.01,few clouds
303,Senanga,ZM,-16.1167,23.2667,64.72,97,99,4.92,overcast clouds
304,Lidkoping,SE,58.5052,13.1577,30.2,100,43,6.91,scattered clouds
305,Kargasok,RU,59.0556,80.8572,-51.48,76,57,5.88,broken clouds
306,Tema,GH,5.667,-0.0166,78.8,94,20,4.61,few clouds
307,Mount Gambier,AU,-37.8333,140.7667,102.2,10,100,17.27,overcast clouds
308,Yaan,NG,7.3833,8.5667,68.79,72,100,4.5,overcast clouds
309,Manzhouli,CN,49.6,117.4333,7.88,92,77,5.32,broken clouds
310,Manaus,BR,-3.1019,-60.025,77.0,94,0,2.3,clear sky
311,Port Lincoln,AU,-34.7333,135.8667,81.03,40,89,13.78,overcast clouds
312,Nouakchott,MR,18.0858,-15.9785,62.6,12,95,8.05,overcast clouds
313,Bani,DO,18.2833,-70.3333,77.0,79,13,5.99,few clouds
314,Nantucket,US,41.2835,-70.0995,23.0,54,1,23.02,clear sky
315,Aguada De Pasajeros,CU,22.385,-80.8508,69.8,88,32,6.91,moderate rain
316,Payson,US,40.0444,-111.7321,35.6,69,90,5.75,overcast clouds
317,Faya,SA,18.3851,42.4509,46.4,57,2,1.23,clear sky
318,Fukuma,JP,33.7667,130.4667,51.8,76,75,12.66,broken clouds
319,Wum,CM,6.3833,10.0667,62.82,30,97,1.92,overcast clouds
320,Yulara,AU,-25.2406,130.9889,91.4,49,75,23.02,broken clouds
321,Tazovskiy,RU,67.4667,78.7,-42.7,78,0,1.14,clear sky
322,Collie,AU,-33.3667,116.15,77.13,40,69,12.17,broken clouds
323,Ecoporanga,BR,-18.3733,-40.8306,67.42,94,12,2.39,few clouds
324,Sioux Lookout,CA,50.1001,-91.917,15.8,92,90,10.36,light snow
325,Mitsamiouli,KM,-11.3847,43.2844,81.63,69,100,2.39,overcast clouds
326,Sadovoye,RU,47.7764,44.5089,30.24,98,95,8.59,overcast clouds
327,Alice Town,BS,25.7167,-79.3,73.44,66,0,10.13,clear sky
328,Ostrovnoy,RU,68.0531,39.5131,4.86,92,99,13.2,overcast clouds
329,Novomichurinsk,RU,54.0384,39.7479,36.0,87,100,7.43,overcast clouds
330,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.46,93,93,2.04,overcast clouds
331,Kaduqli,SD,11.0167,29.7167,68.25,27,37,11.36,scattered clouds
332,Praia,CV,14.9215,-23.5087,69.8,83,0,19.57,clear sky
333,Port Hedland,AU,-20.3167,118.5667,100.4,22,70,18.41,broken clouds
334,Panalingaan,PH,8.7842,117.4231,85.21,66,0,6.44,clear sky
335,Batouri,CM,4.4333,14.3667,63.3,39,97,2.89,overcast clouds
336,Umm Kaddadah,SD,13.6017,26.6876,62.38,30,91,15.03,overcast clouds
337,Inuvik,CA,68.3499,-133.7218,-18.4,76,0,9.22,clear sky
338,Griffith,US,41.5284,-87.4237,27.0,63,75,5.75,broken clouds
339,Cabo San Lucas,MX,22.8909,-109.9124,64.0,82,1,12.66,clear sky
340,Te Anau,NZ,-45.4167,167.7167,55.92,86,100,7.09,light rain
341,El Alto,PE,-4.2714,-81.2147,70.83,85,100,9.95,light rain
342,Agadez,NE,19.75,10.25,51.49,36,0,9.22,clear sky
343,Gari,RU,59.4307,62.3497,-23.17,85,96,7.23,overcast clouds
344,Husavik,IS,66.0449,-17.3389,28.4,93,90,16.11,snow
345,Saint-Joseph,RE,-21.3667,55.6167,80.6,65,90,3.44,overcast clouds
